id,ticker,stock,industry
118550c2-25b6-11ec-8fa4-8c859079d2ba,NCC,NCC Ltd.,Engineering - Construction
118550fe-25b6-11ec-af1f-8c859079d2ba,VEDL,Vedanta Ltd.,Metal - Non Ferrous
1185513a-25b6-11ec-b1ef-8c859079d2ba,NAHARSPING,Nahar Spinning Mills Ltd.,Textile - Spinning
11855176-25b6-11ec-8e40-8c859079d2ba,NATPEROXID,National Peroxide Ltd.,Chemicals
118551b4-25b6-11ec-893b-8c859079d2ba,GRASIM,Grasim Industries Ltd.,Diversified
118551ee-25b6-11ec-b7f0-8c859079d2ba,PEL,Piramal Enterprises Ltd.,Pharmaceuticals & Drugs
11855228-25b6-11ec-b25b-8c859079d2ba,NIITLTD,NIIT Ltd.,IT - Education
11855266-25b6-11ec-963f-8c859079d2ba,JKSYNTHETC,Jaykay Enterprises Ltd.,Miscellaneous
11855298-25b6-11ec-b2d8-8c859079d2ba,NIRLON,Nirlon Ltd.,Engineering - Construction
118552d4-25b6-11ec-b995-8c859079d2ba,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Exploration
11855310-25b6-11ec-8345-8c859079d2ba,OILCOUNTUB,Oil Country Tubular Ltd.,Steel & Iron Products
1185534c-25b6-11ec-9e18-8c859079d2ba,ORIENTHOT,Oriental Hotels Ltd.,"Hotel, Resort & Restaurants"
11855388-25b6-11ec-8cc2-8c859079d2ba,OSWALAGRO,Oswal Agro Mills Ltd.,Diversified
118553c6-25b6-11ec-b996-8c859079d2ba,OSWALSUG,Indian Sucrose Ltd.,Sugar
11855400-25b6-11ec-8593-8c859079d2ba,RELIANCE,Reliance Industries Ltd.,Refineries
1185543a-25b6-11ec-858f-8c859079d2ba,PILITA,PIL ITALICA Lifestyle Ltd.,Plastic Products
11855478-25b6-11ec-b7af-8c859079d2ba,RAYMOND,Raymond Ltd.,Textile - Weaving
118554b4-25b6-11ec-bf5e-8c859079d2ba,PIDILITIND,Pidilite Industries Ltd.,Chemicals
118554f0-25b6-11ec-8272-8c859079d2ba,500333,Pix Transmissions Ltd.,Rubber  Products
1185552c-25b6-11ec-9fe3-8c859079d2ba,BIRLACORPN,Birla Corporation Ltd.,Diversified
11855568-25b6-11ec-9f9c-8c859079d2ba,SURYAROSNI,Surya Roshni Ltd.,Diversified
118555a4-25b6-11ec-afa3-8c859079d2ba,PRIMESECU,Prime Securities Ltd.,Finance - Stock Broking
118555e2-25b6-11ec-b06a-8c859079d2ba,PRSMJOHNSN,Prism Johnson Ltd.,Diversified
1185561c-25b6-11ec-a89d-8c859079d2ba,RAIN,Rain Industries Ltd.,Petrochemicals
1185564c-25b6-11ec-8763-8c859079d2ba,AMJLAND,AMJ Land Holdings Ltd.,Construction - Real Estate
1185568a-25b6-11ec-b38d-8c859079d2ba,PUNJCOMMU,Punjab Communications Ltd.,Telecommunication - Equipment
118556c6-25b6-11ec-b9cd-8c859079d2ba,RSWM,RSWM Ltd.,Textile
11855702-25b6-11ec-bfd9-8c859079d2ba,RAJSREESUG,Rajshree Sugars & Chemicals Ltd.,Sugar
1185573e-25b6-11ec-b1f9-8c859079d2ba,RALLIS,Rallis India Ltd.,Pesticides & Agrochemicals
1185577a-25b6-11ec-9a2e-8c859079d2ba,RAMANEWS,Shree Rama Newsprint Ltd.,Paper & Paper Products
118557b6-25b6-11ec-b88d-8c859079d2ba,500357,Rama Paper Mills Ltd.,Paper & Paper Products
118557f4-25b6-11ec-9b70-8c859079d2ba,RAMAPETRO,Rama Petrochemicals Ltd.,Construction - Real Estate
1185582e-25b6-11ec-972a-8c859079d2ba,500360,Rapicut Carbides Ltd.,Engineering - Industrial Equipments
11855868-25b6-11ec-bc38-8c859079d2ba,REMIMETAL,Welspun Specialty Solutions Ltd.,Steel & Iron Products
118558a6-25b6-11ec-b10e-8c859079d2ba,ROLTA,Rolta India Ltd.,IT - Software
118558e2-25b6-11ec-bde0-8c859079d2ba,RUBFILINTL,Rubfila International Ltd.,Rubber  Products
1185591e-25b6-11ec-b793-8c859079d2ba,RUCHI,Ruchi Soya Industries Ltd.,Consumer Food
1185595a-25b6-11ec-adb9-8c859079d2ba,SALORAINTL,Salora International Ltd.,Trading
11855998-25b6-11ec-801a-8c859079d2ba,JINDALSAW,Jindal Saw Ltd.,Steel & Iron Products
118559d2-25b6-11ec-8a10-8c859079d2ba,JKLAKSHMI,JK Lakshmi Cement Ltd.,Cement & Construction Materials
11855a0c-25b6-11ec-91fe-8c859079d2ba,SHREECEM,Shree Cement Ltd.,Cement & Construction Materials
11855a4a-25b6-11ec-90ee-8c859079d2ba,500388,Shree Krishna Paper Mills & Industries Ltd.,Paper & Paper Products
11855a86-25b6-11ec-a680-8c859079d2ba,RELINFRA,Reliance Infrastructure Ltd.,Power Generation-Distribution
11855ac2-25b6-11ec-8b0a-8c859079d2ba,TATAPOWER,Tata Power Company Ltd.,Power Generation-Distribution
11855afe-25b6-11ec-a91c-8c859079d2ba,SPMLINFRA,SPML Infra Ltd.,Engineering - Construction
11855b3a-25b6-11ec-b6b0-8c859079d2ba,SUNDRMFAST,Sundram Fasteners Ltd.,Trading
11855b76-25b6-11ec-82e3-8c859079d2ba,SUNFLAG,Sunflag Iron And Steel Company Ltd.,Steel & Iron Products
11855bb4-25b6-11ec-b540-8c859079d2ba,SUPPETRO,Supreme Petrochem Ltd.,Chemicals
11855bee-25b6-11ec-84a3-8c859079d2ba,SWARAJENG,Swaraj Engines Ltd.,Diesel Engines
11855c28-25b6-11ec-a333-8c859079d2ba,TATAELXSI,Tata Elxsi Ltd.,IT - Software
11855c66-25b6-11ec-a263-8c859079d2ba,ACC,ACC Ltd.,Cement & Construction Materials
11855c98-25b6-11ec-bc8a-8c859079d2ba,THERMAX,Thermax Ltd.,Engineering - Industrial Equipments
11855cd4-25b6-11ec-b0f5-8c859079d2ba,TIRUMALCHM,Thirumalai Chemicals Ltd.,Chemicals
11855d10-25b6-11ec-af52-8c859079d2ba,THOMASCOOK,Thomas Cook (India) Ltd.,Travel Services
11855d4c-25b6-11ec-a281-8c859079d2ba,TIMEXWATCH,Timex Group India Ltd.,Watches & Accessories
11855d88-25b6-11ec-918f-8c859079d2ba,TOKYOPLAST,Tokyo Plast International Ltd.,Plastic Products
11855dc6-25b6-11ec-8844-8c859079d2ba,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
11855e00-25b6-11ec-b4eb-8c859079d2ba,TPINDIA,TPI India Ltd.,Plastic Products
11855e3a-25b6-11ec-946c-8c859079d2ba,TRANSCHEM,Transchem Ltd.,Agriculture
11855e78-25b6-11ec-853f-8c859079d2ba,AMBUJACEM,Ambuja Cements Ltd.,Cement & Construction Materials
11855eb4-25b6-11ec-b68d-8c859079d2ba,500426,UTL Industries Ltd.,Trading
11855efa-25b6-11ec-9f70-8c859079d2ba,UNIENTER,Uniphos Enterprises Ltd.,Trading
11855f36-25b6-11ec-9a60-8c859079d2ba,VHL,Vardhman Holdings Ltd.,Finance - NBFC
11855f74-25b6-11ec-99bd-8c859079d2ba,HINDALCO,Hindalco Industries Ltd.,Metal - Non Ferrous
11855fae-25b6-11ec-b56e-8c859079d2ba,WSTCSTPAPR,West Coast Paper Mills Ltd.,Paper & Paper Products
11855fe2-25b6-11ec-9e47-8c859079d2ba,HOCL,Hindustan Organic Chemicals Ltd.,Chemicals
1185601c-25b6-11ec-8f7a-8c859079d2ba,MATHPLATT,MPIL Corporation Ltd.,Miscellaneous
11856058-25b6-11ec-ba5d-8c859079d2ba,PASUPTACRY,Pasupati Acrylon Ltd.,Textile - Manmade  Fibres
11856094-25b6-11ec-a14f-8c859079d2ba,PHILCORP,Kore Foods Ltd.,Consumer Food
118560d0-25b6-11ec-b157-8c859079d2ba,PGHH,Procter & Gamble Hygiene and Health Care Ltd.,Household & Personal Products
1185610c-25b6-11ec-920c-8c859079d2ba,MUKANDLTD,Mukand Ltd.,Steel & Iron Products
11856148-25b6-11ec-abb9-8c859079d2ba,AGCNET,AGC Networks Ltd.,Telecommunication - Equipment
11856186-25b6-11ec-81c7-8c859079d2ba,UCALFUEL,Ucal Fuel Systems Ltd.,Auto Ancillary
118561b6-25b6-11ec-998a-8c859079d2ba,HARRMALAYA,Harrisons Malayalam Ltd.,Agriculture
118561f4-25b6-11ec-bd97-8c859079d2ba,FEDERALBNK,The Federal Bank Ltd.,Bank - Private
1185622e-25b6-11ec-abe1-8c859079d2ba,TATASTEEL,Tata Steel Ltd.,Steel & Iron Products
11856268-25b6-11ec-b51b-8c859079d2ba,SKFINDIA,SKF India Ltd.,Bearings
118562a6-25b6-11ec-b23e-8c859079d2ba,ASHOKLEY,Ashok Leyland Ltd.,Automobiles-Trucks-Lcv
118562e2-25b6-11ec-8a34-8c859079d2ba,CUMMINSIND,Cummins India Ltd.,Diesel Engines
1185631e-25b6-11ec-a8a1-8c859079d2ba,TATACOMM,Tata Communications Ltd.,Telecommunication - Service  Provider
1185635a-25b6-11ec-9c4a-8c859079d2ba,ABBOTINDIA,Abbott India Ltd.,Pharmaceuticals & Drugs
11856398-25b6-11ec-865e-8c859079d2ba,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Finance - NBFC
118563d2-25b6-11ec-a7ec-8c859079d2ba,BHARATFORG,Bharat Forge Ltd.,Forgings
11856406-25b6-11ec-a0d2-8c859079d2ba,ESCORTS,Escorts Ltd.,Automobiles-Tractors
11856440-25b6-11ec-a12e-8c859079d2ba,HINDMOTORS,Hindustan Motors Ltd.,Automobiles - Passenger Cars
1185647a-25b6-11ec-9ae9-8c859079d2ba,LT,Larsen & Toubro Ltd.,Engineering - Construction
118564b8-25b6-11ec-b84b-8c859079d2ba,M&M,Mahindra & Mahindra Ltd.,Automobiles - Passenger Cars
118564f4-25b6-11ec-8c96-8c859079d2ba,BOSCHLTD,Bosch Ltd.,Auto Ancillary
11856530-25b6-11ec-ba92-8c859079d2ba,PREMIER,Premier Ltd.,Engineering - Industrial Equipments
1185656c-25b6-11ec-9d10-8c859079d2ba,BPCL,Bharat Petroleum Corporation Ltd.,Refineries
118565a8-25b6-11ec-b3f5-8c859079d2ba,SIEMENS,Siemens Ltd.,Electric Equipment
